"providerName"	"providerId"	"dataSource"	"geneSymbol"	"geneId"	"geneIdType"	"proteinId"	"proteinIdType"	"organism"	"sequenceCount"	"bindingSequence"	"bindingDomain"	"tfFamily"	"experimentType"	"pubmedID"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ATF5_si"	"ATF5_si"	"ATF5_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ATF5"	"9606"	"ENTREZ"	"Q9Y2D1"	"uniprot"	"Hsapiens"	33	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ATF6A_si"	"ATF6A_si"	"ATF6A_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ATF6A"	"9606"	"ENTREZ"	"P18850"	"uniprot"	"Hsapiens"	20	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BACH1_si"	"BACH1_si"	"BACH1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BACH1"	"9606"	"ENTREZ"	"O14867"	"uniprot"	"Hsapiens"	8	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BARX2_si"	"BARX2_si"	"BARX2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BARX2"	"9606"	"ENTREZ"	"Q9UMQ3"	"uniprot"	"Hsapiens"	14	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BATF_si"	"BATF_si"	"BATF_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BATF"	"9606"	"ENTREZ"	"Q16520"	"uniprot"	"Hsapiens"	1878.10886546191	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BCL6_f1"	"BCL6_f1"	"BCL6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BCL6"	"9606"	"ENTREZ"	"P41182"	"uniprot"	"Hsapiens"	32.6435643564357	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BHE40_f2"	"BHE40_f2"	"BHE40_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BHE40"	"9606"	"ENTREZ"	"O14503"	"uniprot"	"Hsapiens"	2037	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BHE41_f1"	"BHE41_f1"	"BHE41_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BHE41"	"9606"	"ENTREZ"	"Q9C0J9"	"uniprot"	"Hsapiens"	10	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BMAL1_f1"	"BMAL1_f1"	"BMAL1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BMAL1"	"9606"	"ENTREZ"	"O00327"	"uniprot"	"Hsapiens"	14.9640287769784	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BPTF_si"	"BPTF_si"	"BPTF_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BPTF"	"9606"	"ENTREZ"	"Q12830"	"uniprot"	"Hsapiens"	21	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BRAC_si"	"BRAC_si"	"BRAC_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BRAC"	"9606"	"ENTREZ"	"O15178"	"uniprot"	"Hsapiens"	26	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-BRCA1_f1"	"BRCA1_f1"	"BRCA1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"BRCA1"	"9606"	"ENTREZ"	"P38398"	"uniprot"	"Hsapiens"	72.5704129924436	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CDC5L_si"	"CDC5L_si"	"CDC5L_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CDC5L"	"9606"	"ENTREZ"	"Q99459"	"uniprot"	"Hsapiens"	10	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CDX1_f1"	"CDX1_f1"	"CDX1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CDX1"	"9606"	"ENTREZ"	"P47902"	"uniprot"	"Hsapiens"	30	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CDX2_f1"	"CDX2_f1"	"CDX2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CDX2"	"9606"	"ENTREZ"	"Q99626"	"uniprot"	"Hsapiens"	35.9520958083832	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPA_do"	"CEBPA_do"	"CEBPA_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPA"	"9606"	"ENTREZ"	"P49715"	"uniprot"	"Hsapiens"	329.864990689012	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPB_f1"	"CEBPB_f1"	"CEBPB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPB"	"9606"	"ENTREZ"	"P17676"	"uniprot"	"Hsapiens"	1315.94797184534	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPD_f1"	"CEBPD_f1"	"CEBPD_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPD"	"9606"	"ENTREZ"	"P49716"	"uniprot"	"Hsapiens"	77.4593103448278	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPE_f1"	"CEBPE_f1"	"CEBPE_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPE"	"9606"	"ENTREZ"	"Q15744"	"uniprot"	"Hsapiens"	811.783240242094	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPG_si"	"CEBPG_si"	"CEBPG_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPG"	"9606"	"ENTREZ"	"P53567"	"uniprot"	"Hsapiens"	22.3404255319149	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-CEBPZ_si"	"CEBPZ_si"	"CEBPZ_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"CEBPZ"	"9606"	"ENTREZ"	"Q03701"	"uniprot"	"Hsapiens"	25.9141104294479	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-COE1_f2"	"COE1_f2"	"COE1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"COE1"	"9606"	"ENTREZ"	"Q9UH73"	"uniprot"	"Hsapiens"	1805.20171835795	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-COT1_f1"	"COT1_f1"	"COT1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"COT1"	"9606"	"ENTREZ"	"P10589"	"uniprot"	"Hsapiens"	82.0000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-COT1_si"	"COT1_si"	"COT1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"COT1"	"9606"	"ENTREZ"	"P10589"	"uniprot"	"Hsapiens"	83.1655358982115	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-COT2_f1"	"COT2_f1"	"COT2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"COT2"	"9606"	"ENTREZ"	"P24468"	"uniprot"	"Hsapiens"	76.7729196050777	NA	NA	NA	"low- and high-throughput methods"	"23175603"
