"providerName"	"providerId"	"dataSource"	"geneSymbol"	"geneId"	"geneIdType"	"proteinId"	"proteinIdType"	"organism"	"sequenceCount"	"bindingSequence"	"bindingDomain"	"tfFamily"	"experimentType"	"pubmedID"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ERG_f1"	"ERG_f1"	"ERG_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ERG"	"9606"	"ENTREZ"	"P11308"	"uniprot"	"Hsapiens"	635.397842799145	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ERR1_f1"	"ERR1_f1"	"ERR1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ERR1"	"9606"	"ENTREZ"	"P11474"	"uniprot"	"Hsapiens"	2048.00000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ERR2_f1"	"ERR2_f1"	"ERR2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ERR2"	"9606"	"ENTREZ"	"O95718"	"uniprot"	"Hsapiens"	3662.1421534522	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ERR3_f1"	"ERR3_f1"	"ERR3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ERR3"	"9606"	"ENTREZ"	"P62508"	"uniprot"	"Hsapiens"	14	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ESR1_do"	"ESR1_do"	"ESR1_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ESR1"	"9606"	"ENTREZ"	"P03372"	"uniprot"	"Hsapiens"	524.695930245871	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ESR2_do"	"ESR2_do"	"ESR2_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ESR2"	"9606"	"ENTREZ"	"Q92731"	"uniprot"	"Hsapiens"	349.192900621122	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ESR2_si"	"ESR2_si"	"ESR2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ESR2"	"9606"	"ENTREZ"	"Q92731"	"uniprot"	"Hsapiens"	371.400903318932	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ETS1_si"	"ETS1_si"	"ETS1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ETS1"	"9606"	"ENTREZ"	"P14921"	"uniprot"	"Hsapiens"	147.379675121918	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ETS2_f1"	"ETS2_f1"	"ETS2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ETS2"	"9606"	"ENTREZ"	"P15036"	"uniprot"	"Hsapiens"	42	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ETV4_f1"	"ETV4_f1"	"ETV4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ETV4"	"9606"	"ENTREZ"	"P43268"	"uniprot"	"Hsapiens"	47	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ETV5_f1"	"ETV5_f1"	"ETV5_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ETV5"	"9606"	"ENTREZ"	"P41161"	"uniprot"	"Hsapiens"	15	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ETV7_si"	"ETV7_si"	"ETV7_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ETV7"	"9606"	"ENTREZ"	"Q9Y603"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-EVI1_f1"	"EVI1_f1"	"EVI1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"EVI1"	"9606"	"ENTREZ"	"Q03112"	"uniprot"	"Hsapiens"	141	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FEV_f1"	"FEV_f1"	"FEV_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FEV"	"9606"	"ENTREZ"	"Q99581"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FLI1_f1"	"FLI1_f1"	"FLI1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FLI1"	"9606"	"ENTREZ"	"Q01543"	"uniprot"	"Hsapiens"	25	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOSB_f1"	"FOSB_f1"	"FOSB_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOSB"	"9606"	"ENTREZ"	"P53539"	"uniprot"	"Hsapiens"	20.0117647058823	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOSL1_f2"	"FOSL1_f2"	"FOSL1_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOSL1"	"9606"	"ENTREZ"	"P15407"	"uniprot"	"Hsapiens"	47	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOSL2_f1"	"FOSL2_f1"	"FOSL2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOSL2"	"9606"	"ENTREZ"	"P15408"	"uniprot"	"Hsapiens"	1784.75845109804	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOS_si"	"FOS_si"	"FOS_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOS"	"9606"	"ENTREZ"	"P01100"	"uniprot"	"Hsapiens"	1955.91823737257	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXA1_f1"	"FOXA1_f1"	"FOXA1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXA1"	"9606"	"ENTREZ"	"P55317"	"uniprot"	"Hsapiens"	890.831286330868	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXA2_f1"	"FOXA2_f1"	"FOXA2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXA2"	"9606"	"ENTREZ"	"Q9Y261"	"uniprot"	"Hsapiens"	883.866831878164	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXA3_f1"	"FOXA3_f1"	"FOXA3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXA3"	"9606"	"ENTREZ"	"P55318"	"uniprot"	"Hsapiens"	23	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXC1_f1"	"FOXC1_f1"	"FOXC1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXC1"	"9606"	"ENTREZ"	"Q12948"	"uniprot"	"Hsapiens"	26	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXC2_f1"	"FOXC2_f1"	"FOXC2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXC2"	"9606"	"ENTREZ"	"Q99958"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXD1_si"	"FOXD1_si"	"FOXD1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXD1"	"9606"	"ENTREZ"	"Q16676"	"uniprot"	"Hsapiens"	22	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXD3_f1"	"FOXD3_f1"	"FOXD3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXD3"	"9606"	"ENTREZ"	"Q9UJU5"	"uniprot"	"Hsapiens"	74.8002694734647	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXF1_f1"	"FOXF1_f1"	"FOXF1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXF1"	"9606"	"ENTREZ"	"Q12946"	"uniprot"	"Hsapiens"	8	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXF2_f1"	"FOXF2_f1"	"FOXF2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXF2"	"9606"	"ENTREZ"	"Q12947"	"uniprot"	"Hsapiens"	26	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXI1_f1"	"FOXI1_f1"	"FOXI1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXI1"	"9606"	"ENTREZ"	"Q12951"	"uniprot"	"Hsapiens"	156.278614203504	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXJ2_f1"	"FOXJ2_f1"	"FOXJ2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXJ2"	"9606"	"ENTREZ"	"Q9P0K8"	"uniprot"	"Hsapiens"	41.1385681293303	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXJ3_f2"	"FOXJ3_f2"	"FOXJ3_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXJ3"	"9606"	"ENTREZ"	"Q9UPW0"	"uniprot"	"Hsapiens"	613.399553876891	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXJ3_si"	"FOXJ3_si"	"FOXJ3_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXJ3"	"9606"	"ENTREZ"	"Q9UPW0"	"uniprot"	"Hsapiens"	626.331126093711	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXM1_f1"	"FOXM1_f1"	"FOXM1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXM1"	"9606"	"ENTREZ"	"Q08050"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXO1_si"	"FOXO1_si"	"FOXO1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXO1"	"9606"	"ENTREZ"	"Q12778"	"uniprot"	"Hsapiens"	57.7294605809129	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXO3_si"	"FOXO3_si"	"FOXO3_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXO3"	"9606"	"ENTREZ"	"O43524"	"uniprot"	"Hsapiens"	63	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXO4_f1"	"FOXO4_f1"	"FOXO4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXO4"	"9606"	"ENTREZ"	"P98177"	"uniprot"	"Hsapiens"	27.9252336448598	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXP2_si"	"FOXP2_si"	"FOXP2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXP2"	"9606"	"ENTREZ"	"O15409"	"uniprot"	"Hsapiens"	1996.90347196751	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXP3_f1"	"FOXP3_f1"	"FOXP3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXP3"	"9606"	"ENTREZ"	"Q9BZS1"	"uniprot"	"Hsapiens"	9	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FOXQ1_f1"	"FOXQ1_f1"	"FOXQ1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FOXQ1"	"9606"	"ENTREZ"	"Q9C009"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-FUBP1_f1"	"FUBP1_f1"	"FUBP1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"FUBP1"	"9606"	"ENTREZ"	"Q96AE4"	"uniprot"	"Hsapiens"	102.375	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GABP1+GABP2_f1"	"GABP1+GABP2_f1"	"GABP1+GABP2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GABP1+GABP2"	"9606"	"ENTREZ"	NA	"uniprot"	"Hsapiens"	36	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GABPA_f1"	"GABPA_f1"	"GABPA_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GABPA"	"9606"	"ENTREZ"	"Q06546"	"uniprot"	"Hsapiens"	2749.95254631646	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA1_si"	"GATA1_si"	"GATA1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA1"	"9606"	"ENTREZ"	"P15976"	"uniprot"	"Hsapiens"	955.894737160667	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA2_si"	"GATA2_si"	"GATA2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA2"	"9606"	"ENTREZ"	"P23769"	"uniprot"	"Hsapiens"	1839.68927351881	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA3_si"	"GATA3_si"	"GATA3_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA3"	"9606"	"ENTREZ"	"P23771"	"uniprot"	"Hsapiens"	89.1331054965398	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA4_f1"	"GATA4_f1"	"GATA4_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA4"	"9606"	"ENTREZ"	"P43694"	"uniprot"	"Hsapiens"	107	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA5_f1"	"GATA5_f1"	"GATA5_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA5"	"9606"	"ENTREZ"	"Q9BWX5"	"uniprot"	"Hsapiens"	13	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GATA6_f2"	"GATA6_f2"	"GATA6_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GATA6"	"9606"	"ENTREZ"	"Q92908"	"uniprot"	"Hsapiens"	113.997277676951	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GCM1_f1"	"GCM1_f1"	"GCM1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GCM1"	"9606"	"ENTREZ"	"Q9NP62"	"uniprot"	"Hsapiens"	12	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GCR_do"	"GCR_do"	"GCR_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GCR"	"9606"	"ENTREZ"	"P04150"	"uniprot"	"Hsapiens"	4122.1957262554	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GCR_si"	"GCR_si"	"GCR_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GCR"	"9606"	"ENTREZ"	"P04150"	"uniprot"	"Hsapiens"	4225.99495146195	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GFI1B_f1"	"GFI1B_f1"	"GFI1B_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GFI1B"	"9606"	"ENTREZ"	"Q5VTD9"	"uniprot"	"Hsapiens"	73.9495798319329	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GFI1_f1"	"GFI1_f1"	"GFI1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GFI1"	"9606"	"ENTREZ"	"Q99684"	"uniprot"	"Hsapiens"	149.536820269773	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GLI1_f1"	"GLI1_f1"	"GLI1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GLI1"	"9606"	"ENTREZ"	"P08151"	"uniprot"	"Hsapiens"	31	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GLI2_f1"	"GLI2_f1"	"GLI2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GLI2"	"9606"	"ENTREZ"	"P10070"	"uniprot"	"Hsapiens"	930.51301340382	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GLI3_si"	"GLI3_si"	"GLI3_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GLI3"	"9606"	"ENTREZ"	"P10071"	"uniprot"	"Hsapiens"	15.1373626373626	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-GLIS3_f1"	"GLIS3_f1"	"GLIS3_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"GLIS3"	"9606"	"ENTREZ"	"Q8NEA6"	"uniprot"	"Hsapiens"	38.005540166205	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HAND1_si"	"HAND1_si"	"HAND1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HAND1"	"9606"	"ENTREZ"	"O96004"	"uniprot"	"Hsapiens"	26	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HBP1_f1"	"HBP1_f1"	"HBP1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HBP1"	"9606"	"ENTREZ"	"O60381"	"uniprot"	"Hsapiens"	5.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HEN1_si"	"HEN1_si"	"HEN1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HEN1"	"9606"	"ENTREZ"	"Q02575"	"uniprot"	"Hsapiens"	55	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HES1_f1"	"HES1_f1"	"HES1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HES1"	"9606"	"ENTREZ"	"Q14469"	"uniprot"	"Hsapiens"	28	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HESX1_f1"	"HESX1_f1"	"HESX1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HESX1"	"9606"	"ENTREZ"	"Q9UBX0"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HEY2_f1"	"HEY2_f1"	"HEY2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HEY2"	"9606"	"ENTREZ"	"Q9UBP5"	"uniprot"	"Hsapiens"	8.00000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HIC1_si"	"HIC1_si"	"HIC1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HIC1"	"9606"	"ENTREZ"	"Q14526"	"uniprot"	"Hsapiens"	39.3318965517242	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HIF1A_si"	"HIF1A_si"	"HIF1A_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HIF1A"	"9606"	"ENTREZ"	"Q16665"	"uniprot"	"Hsapiens"	498.917049496041	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HINFP_f1"	"HINFP_f1"	"HINFP_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HINFP"	"9606"	"ENTREZ"	"Q9BQA5"	"uniprot"	"Hsapiens"	42	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HLF_si"	"HLF_si"	"HLF_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HLF"	"9606"	"ENTREZ"	"Q16534"	"uniprot"	"Hsapiens"	34.9530273873404	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HLTF_f1"	"HLTF_f1"	"HLTF_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HLTF"	"9606"	"ENTREZ"	"Q14527"	"uniprot"	"Hsapiens"	10	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HMGA1_f1"	"HMGA1_f1"	"HMGA1_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HMGA1"	"9606"	"ENTREZ"	"P17096"	"uniprot"	"Hsapiens"	94.2904564315353	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HMGA2_f1"	"HMGA2_f1"	"HMGA2_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HMGA2"	"9606"	"ENTREZ"	"P52926"	"uniprot"	"Hsapiens"	75.4758620689657	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HNF1A_f1"	"HNF1A_f1"	"HNF1A_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HNF1A"	"9606"	"ENTREZ"	"P20823"	"uniprot"	"Hsapiens"	174	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HNF1B_f1"	"HNF1B_f1"	"HNF1B_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HNF1B"	"9606"	"ENTREZ"	"P35680"	"uniprot"	"Hsapiens"	57.0000000000001	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HNF4A_f1"	"HNF4A_f1"	"HNF4A_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HNF4A"	"9606"	"ENTREZ"	"P41235"	"uniprot"	"Hsapiens"	1861.10762159956	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HNF4G_f1"	"HNF4G_f1"	"HNF4G_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HNF4G"	"9606"	"ENTREZ"	"Q14541"	"uniprot"	"Hsapiens"	7	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-HNF6_f1"	"HNF6_f1"	"HNF6_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"HNF6"	"9606"	"ENTREZ"	"Q9UBC0"	"uniprot"	"Hsapiens"	24	NA	NA	NA	"low- and high-throughput methods"	"23175603"
